GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pet-store,com.zinkworks.gradpetstore.exceptions,PetNotFoundException,0,4,0,0,0,2,0,1,0,1
pet-store,com.zinkworks.gradpetstore.mapper,PetMapper,3,24,0,0,1,10,1,2,1,2
pet-store,com.zinkworks.gradpetstore.model,Pet.PetBuilder,27,35,0,0,0,1,1,6,1,6
pet-store,com.zinkworks.gradpetstore.model,Pet,16,34,0,0,1,13,4,7,4,7
pet-store,com.zinkworks.gradpetstore,PetStoreApplication,5,3,0,0,2,1,1,1,1,1
pet-store,com.zinkworks.gradpetstore.dto,ErrorDTO,8,19,0,0,1,3,2,4,2,4
pet-store,com.zinkworks.gradpetstore.dto,ErrorDTO.ErrorDTOBuilder,22,16,0,0,0,1,2,3,2,3
pet-store,com.zinkworks.gradpetstore.dto,ResponseDTO.ResponseDTOBuilder,12,14,0,0,0,1,1,3,1,3
pet-store,com.zinkworks.gradpetstore.dto,PetDTO.PetDTOBuilder,22,28,0,0,0,1,1,5,1,5
pet-store,com.zinkworks.gradpetstore.dto,ResponseDTO,4,13,0,0,1,2,1,3,1,3
pet-store,com.zinkworks.gradpetstore.dto,PetDTO,12,25,0,0,1,4,3,5,3,5
pet-store,com.zinkworks.gradpetstore.controller,PetController,125,54,0,0,35,13,4,3,4,3
pet-store,com.zinkworks.gradpetstore.service,PetService,65,27,4,0,13,4,7,3,5,3
pet-store,com.zinkworks.gradpetstore.util,AnimalTypes,0,33,0,0,0,6,0,1,0,1
